65656652;01042018 1901;Cold water;;;;;;;;;19303;USgal;2070;h;;;;;;;;;;;;;0;;;;;;18997;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656651;01042018 1859;Cold water;;;;;;;;;10608;USgal;2069;h;;;;;;;;;;;;;8192;;;;;;10333;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656650;01042018 1859;Cold water;;;;;;;;;7961;USgal;2091;h;;;;;;;;;;;;;0;;;;;;7803;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656649;01042018 1858;Cold water;;;;;;;;;2404;USgal;2069;h;;;;;;;;;;;;;384;;;;;;2404;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656648;01042018 1900;Cold water;;;;;;;;;14702;USgal;2070;h;;;;;;;;;;;;;8192;;;;;;14482;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656647;01042018 1902;Cold water;;;;;;;;;9048;USgal;2070;h;;;;;;;;;;;;;0;;;;;;9023;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656646;01042018 1855;Cold water;;;;;;;;;7604;USgal;2069;h;;;;;;;;;;;;;0;;;;;;7498;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656645;01042018 1901;Cold water;;;;;;;;;3443;USgal;2069;h;;;;;;;;;;;;;0;;;;;;2902;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656644;01042018 1857;Cold water;;;;;;;;;8621;USgal;2068;h;;;;;;;;;;;;;0;;;;;;8444;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656643;01042018 1856;Cold water;;;;;;;;;34622;USgal;2068;h;;;;;;;;;;;;;16384;;;;;;34501;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656642;01042018 1856;Cold water;;;;;;;;;6837;USgal;2069;h;;;;;;;;;;;;;0;;;;;;6829;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656641;01042018 1856;Cold water;;;;;;;;;16662;USgal;2068;h;;;;;;;;;;;;;0;;;;;;16545;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
65656640;01042018 1855;Cold water;;;;;;;;;774;USgal;2068;h;;;;;;;;;;;;;0;;;;;;668;USgal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rev_5;;;;;;;;;;;;;;;;;;;;;;
